,Zip Code,Count of Crimes,2011,Crime Rate Per 100 People
1,60605,2394,75030.0,3.1907237105157935
2,60607,3946,79242.0,4.979682491607986
3,60608,4324,35477.0,12.18817825633509
4,60609,4936,34725.0,14.214542836573074
5,60610,3396,70268.0,4.832925371435077
6,60612,7975,35013.0,22.777254162739556
7,60613,2649,66589.0,3.9781345267236334
8,60614,4588,85740.0,5.351061348262188
9,60615,6129,38783.0,15.803315885826263
10,60616,5041,43085.0,11.700127654636185
11,60617,7901,38835.0,20.34504956868804
12,60618,5581,57486.0,9.708450753226874
13,60619,14323,36677.0,39.05172178749625
14,60620,14617,35191.0,41.53618822994516
15,60621,15379,19692.0,78.09770465163518
16,60622,7856,64037.0,12.267907615909552
17,60623,11511,30624.0,37.58816614420063
18,60624,14740,22982.0,64.13715081368028
19,60625,4675,53233.0,8.782146412939342
20,60626,4418,39720.0,11.122860020140987
21,60628,13203,40248.0,32.804114490161
22,60629,8561,41549.0,20.604587354689645
23,60631,1232,75486.0,1.6320907188087856
24,60632,6856,40340.0,16.99553792761527
25,60634,1731,57744.0,2.9977140482128015
26,60636,19410,26625.0,72.90140845070422
27,60637,10393,28075.0,37.018699910952805
28,60638,2726,60383.0,4.514515674941623
29,60639,10549,39197.0,26.912773936780876
30,60640,4639,44964.0,10.317142602971266
31,60641,6565,47878.0,13.711934500187978
33,60643,6143,58349.0,10.528029614903426
34,60644,11912,28235.0,42.18877279971666
36,60649,15462,29444.0,52.51324548295069
38,60652,3798,62645.0,6.0627344560619365
39,60653,7187,25215.0,28.502875272655164
40,60655,984,85101.0,1.156273134275743
41,60659,3067,48662.0,6.3026591590974474
42,60660,3170,38554.0,8.222233750064845
